week,category,weeklyRank,showTitle,seasonTitle,weeklyHours,cumulativeWeeks,genre,cast,rating,description,country
5/1/22,TV (English),1,Ozark,Ozark: Season 4,78400000,8,"Crime TV Shows, TV Dramas, TV Thrillers","Jason Bateman, Sofia Hublitz, Laura Linney, Skylar Gaertner, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery",TV-MA,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",United States
5/1/22,TV (English),2,Selling Sunset,Selling Sunset: Season 5,34310000,2,Reality TV,"Mary Fitzgerald, Chrishell Stause, Christine Quinn, Heather Rae Young, Jason Oppenheim",TV-MA,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,United States
5/1/22,TV (English),3,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,30170000,3,"Crime TV Shows, TV Dramas, TV Thrillers","Sienna Miller,Michelle Dockery,Rupert Friend,",TV-MA,"Sophie Whitehouse, the wife of British Tory MP James Whitehouse, learns that her husband has been having an affair with an aide. The news goes public, blowing up their lives and forcing her to deal with the consequences of her husband's disastrous decisions. To make matters worse, James is accused of rape and has to stand trial.",United States
5/1/22,TV (English),4,Bridgerton,Bridgerton: Season 2,29740000,6,"Romantic TV Shows, TV Dramas","Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker",TV-MA,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.,United States
5/1/22,TV (English),5,Heartstopper,Heartstopper: Season 1,23940000,2,"Romantic TV Shows, TV Dramas","Kit Connor, Joe Locke, William Gao, Yasmin Finney",TV-14,"The story of Charlie Spring, a gay schoolboy who falls in love with someone he sits next to in his new form, Nick Nelson, while also exploring the lives of Charlie and Nick's friends: Tao, Elle, Tara, Darcy and Isaac.",United Kingdom
5/1/22,TV (English),6,Conversations with a Killer: The John Wayne Gacy Tapes,Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,20910000,2,Docuseries,"Sam Amirante, Greg Bedoe, Rafael Tovar",TV-MA,"The series depicts the murder spree of serial killer John Wayne Gacy, who killed at least 33 teenage boys and young men between 1972 and 1978 in Chicago, Illinois.",United States
5/1/22,TV (English),7,Grace and Frankie,Grace and Frankie: Season 7,15470000,1,"TV Comedies, TV Dramas","Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",TV-MA,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",United States
5/1/22,TV (English),8,The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,13140000,4,Reality TV,"Nick Lachey, Vanessa Lachey",TV-MA,"A reality TV series hosted by Nick and Vanessa Lachey, who introduce six different couples approaching marriage put their relationships to the test. Each couple is faced with an ultimatum, as one person in the relationship wants to get married and the other does not.",United States
5/1/22,TV (English),9,Bridgerton,Bridgerton: Season 1,12130000,6,"Romantic TV Shows, TV Dramas","Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker",TV-MA,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.,United States
5/1/22,TV (English),10,The Creature Cases,The Creature Cases: Season 1,11760000,2,"Action, Animation, Kids Shows","Joseph Balderrama, Kerry Shale, Teresa Gallagher",TY-Y,"Follows Sam Snow and Kit Casey, two brilliant agents, as they solve mysteries that mix real zoological facts with wild detective action.",United States
5/1/22,TV (Non-English),1,The Marked Heart,The Marked Heart: Season 1,85260000,2,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),2,Hold Tight,Hold Tight: Limited Series,25120000,2,"Crime TV Shows, TV Dramas, TV Thrillers",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),3,Business Proposal,Business Proposal: Season 1,19500000,8,"Romantic TV Shows, TV Dramas",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),4,Elite,Elite: Season 5,14890000,4,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Danna Paola, Miguel Herrán, María Pedraza, Itzan Escamilla, Miguel Bernardeau, Jaime Lorente, Álvaro Rico, Arón Piper, Mina El Hammani, Ester Expósito, Omar Ayuso",TV-MA,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",Spain
5/1/22,TV (Non-English),5,Yakamoz S-245,Yakamoz S-245: Season 1,13000000,2,"Mystery, Thriller",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),6,The 7 Lives of Lea,The 7 Lives of Lea: Season 1,11230000,1,"Mystery, Thriller",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),7,Pedro el escamoso,Pedro el escamoso: Season 1,10460000,2,"Spanish language TV Shows, Romantic Comedy",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),8,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",9800000,21,"Spanish language TV Shows, Romantic Comedy",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),9,Twenty Five Twenty One,Twenty Five Twenty One: Season 1,9580000,10,"Romantic TV Shows, TV Dramas",Unavailable,Unavailable,Unavailable,Unavailable
5/1/22,TV (Non-English),10,Our Blues,Our Blues: Season 1,9090000,1,"Romantic TV Shows, TV Dramas",Unavailable,Unavailable,Unavailable,Unavailable
